weight,relation,source,target
0.8,r_dns_a,IP_a2bdd3a0b310fddb92295c690185c2309406f24404ee93dbdc0f3f12e16fdead,Domain_362606379691bb169df24d8102e6310266dcd75618f66a58ed2dfcdce39c3d04
0.8,r_dns_a,IP_a2bdd3a0b310fddb92295c690185c2309406f24404ee93dbdc0f3f12e16fdead,Domain_cfd925fd9e6a03bf6342cd6be2c47f35557a16d219986e217e7f412676e364cb
0.8,r_dns_a,IP_a2bdd3a0b310fddb92295c690185c2309406f24404ee93dbdc0f3f12e16fdead,Domain_21291b31e53a1119ecf704739a93fc3e28e835044d4e9201769c546606c0fb67
0.8,r_dns_a,IP_a2bdd3a0b310fddb92295c690185c2309406f24404ee93dbdc0f3f12e16fdead,Domain_49370e263dab13380c6ec152e4e3a114764491290c36425b5e3f00f1635118ab
0.8,r_dns_a,IP_a2bdd3a0b310fddb92295c690185c2309406f24404ee93dbdc0f3f12e16fdead,Domain_ca11a8b53e910e0302cab7e100dd48d5821339006f2f56784446027a02c5cb63
0.8,r_dns_a,IP_a2bdd3a0b310fddb92295c690185c2309406f24404ee93dbdc0f3f12e16fdead,Domain_63c64ca90dd2bd1bc4550b591e5ce2b38a3131568cdd0499a4356630fed9a898
0.8,r_dns_a,IP_a2bdd3a0b310fddb92295c690185c2309406f24404ee93dbdc0f3f12e16fdead,Domain_f4460e3f3b97ea8c19cea6ddcba28e4d351852faf6c94a5523e83d9ff50818e0
0.8,r_dns_a,IP_a2bdd3a0b310fddb92295c690185c2309406f24404ee93dbdc0f3f12e16fdead,Domain_611bc1095b167990ab1e94ad506fca6993bf809cf0702c14f1eea34a8472b0cb
0.8,r_dns_a,IP_a2bdd3a0b310fddb92295c690185c2309406f24404ee93dbdc0f3f12e16fdead,Domain_214b435946e34e1727e110e584b94a774a715d4f2b64f03099b834251bf9f4c6
0.8,r_dns_a,IP_a2bdd3a0b310fddb92295c690185c2309406f24404ee93dbdc0f3f12e16fdead,Domain_3fb338b0e02332842d0c8ee09582158e489e7e5d371f87664c445b10c525e84d
0.8,r_dns_a,IP_a2bdd3a0b310fddb92295c690185c2309406f24404ee93dbdc0f3f12e16fdead,Domain_84873f327387199e75ba08a07c667fc773829df35e6d34a674deaafe2f8be530
0.8,r_dns_a,IP_a2bdd3a0b310fddb92295c690185c2309406f24404ee93dbdc0f3f12e16fdead,Domain_e29dc73e6c1b7fb4a9b012d444b9dab049c56ef4522c82b3eddcff7ec01e935a
0.8,r_dns_a,IP_a2bdd3a0b310fddb92295c690185c2309406f24404ee93dbdc0f3f12e16fdead,Domain_70ed6b905f27ea54e804f6b6683324bf4c15cd3bcee31986a75a077b5bdbe1cb
0.8,r_dns_a,IP_a2bdd3a0b310fddb92295c690185c2309406f24404ee93dbdc0f3f12e16fdead,Domain_ea51ea17329b950d6cdd84dd074741946b48db4afd20b2d00102eda3d1569ea3
