weight,relation,source,target
3,r_whois_name,Domain_b8218eb68a91f5d85f3780e94a713087456d133e926632abf28ff8c312950274,Whois_Name_9de4f742d3fc5da51c455879cc07287e27ef81ec8e73cbf8d8b4b189c8743c69
2,r_cname,Domain_b8218eb68a91f5d85f3780e94a713087456d133e926632abf28ff8c312950274,Domain_32c4f41a64871e9d60569380b3e6c7a07026a9504c34071d3d80adf28e47e4b1
4,r_dns_a,Domain_72d3b91b7e550ac76c5f7d54009f893a1089f6d313b34b466f1855aa56296890,IP_653f36a9844f01be9a2fdc87b474c550ca69a92f20574340f719e5f796c06732
2,r_cname,Domain_72d3b91b7e550ac76c5f7d54009f893a1089f6d313b34b466f1855aa56296890,Domain_8363f9c51171df73e13f043ee0865d489011ec41564e26db093a595b624f1fa0
4,r_dns_a,Domain_1aeae2d0b97f5be5a085f0e8d213f15c4ced40f4b18e17fa6e0a005a14722620,IP_7c93966d4e250b06f774f84e24b05dd01d057291d840d9e5c1b3e350c12c42e6
3,r_whois_name,Domain_3f5f57d4faad6244072f3d9e2acdbe246aafd9f7926123fcaf22a829063a615e,Whois_Name_c5f19d1642581661b3940aa98c60018e60fc51d75c0c64e568d918426af3d371
4,r_dns_a,IP_3e203d1ef67cfbf048c9c4a429944e2dec56e3073f89147a7d63601fba24f036,Domain_c54c8ca525c7156bbd9d0960206f14c9b588883e48435ea16d02c405a5b00389
4,r_dns_a,IP_3e203d1ef67cfbf048c9c4a429944e2dec56e3073f89147a7d63601fba24f036,Domain_464dd59a45c4873860c7d9ab329c8ac42da7f5c6ee7b51eaee23e06b6834d842
4,r_dns_a,Domain_dcbe6001185cbe6aeea5a20138800699c7a6b133055d68b843fe3ab21f85ed8e,IP_96a7c50a6373585df490b0fc015d30cc0b48b155c736919cef23073d60dd5525
4,r_dns_a,Domain_aff5fa19ef3ed80b0c74f09d04c627ac3554cdbffe1f3db6c88e585f791896c9,IP_2340c6a5d2bbdb6ddc747e8b070b091733358a98bda998a77ea307d5a63413cc
4,r_dns_a,Domain_f2e56fe445d7262c6586c4627915d07136130fd060bf336e49eaf2f39c534a6b,IP_2340c6a5d2bbdb6ddc747e8b070b091733358a98bda998a77ea307d5a63413cc
4,r_dns_a,Domain_42fe1308c0fd70ddb58d811add8cf73ca15fb370ccf48c69b089f63eead12c34,IP_653f36a9844f01be9a2fdc87b474c550ca69a92f20574340f719e5f796c06732
2,r_cname,Domain_42fe1308c0fd70ddb58d811add8cf73ca15fb370ccf48c69b089f63eead12c34,Domain_8363f9c51171df73e13f043ee0865d489011ec41564e26db093a595b624f1fa0
3,r_whois_name,Domain_f980adc8130e8fcd71db1bebb258e7edde216d2d6e3757eb09d30a273f3afb1b,Whois_Name_af9c8790603b2045d997ea7062e2fd93c931560ae48932b95f20085663878464
4,r_dns_a,IP_644f790d1b7402a858c84d72086543a5a158516fc0dea33ffe2b31b41afd46c6,Domain_1c5733975b390f0ba67f30b72b821bf4b5d07e54b36b55baa2bf32d5758ccc06
1,r_asn,IP_644f790d1b7402a858c84d72086543a5a158516fc0dea33ffe2b31b41afd46c6,ASN_99fdfffd6903a124519df33f4b37e1b45bc7234f26c783f7254f09235b9ca30f
3,r_whois_name,Domain_5a386c631c52ad78df460eb2a809adc98e92a6f6ec1b377f8bdd114693dc34c7,Whois_Name_ea40376482fb013b3f713cb9f36dcbca1807bde5173fa57db7778f027e3ed0e5
3,r_whois_email,Domain_5a386c631c52ad78df460eb2a809adc98e92a6f6ec1b377f8bdd114693dc34c7,Whois_Email_d7537914ce0c8d6b94c8860e2627871d80464ebad7a64c0bb796492e7adb9767
3,r_whois_phone,Domain_5a386c631c52ad78df460eb2a809adc98e92a6f6ec1b377f8bdd114693dc34c7,Whois_Phone_fd0a3f6712ff520edae7e554cb6dfb4bdd2af1e4a97a39ed9357b31b6888b4af
4,r_subdomain,Domain_5a386c631c52ad78df460eb2a809adc98e92a6f6ec1b377f8bdd114693dc34c7,Domain_2ba5382b31bdca51b90d71fc9650d969d7c78dd7e18652901902c7f7c675e657
4,r_dns_a,Domain_5a386c631c52ad78df460eb2a809adc98e92a6f6ec1b377f8bdd114693dc34c7,IP_5799704120b33f4873a85002c3e82749d9a1311361c630519b69743658e14478
3,r_whois_name,Domain_5a386c631c52ad78df460eb2a809adc98e92a6f6ec1b377f8bdd114693dc34c7,Whois_Name_d14901929e03d9e2c4b3a3bdca4f38ba56a069697c6664cb1fbf44e16bd0a0ce
3,r_whois_email,Domain_5a386c631c52ad78df460eb2a809adc98e92a6f6ec1b377f8bdd114693dc34c7,Whois_Email_5d30fae3931d90be89faf76350486daf55ec8d31fb5e5c3e0f1cfa3e61d97af2
3,r_whois_phone,Domain_5a386c631c52ad78df460eb2a809adc98e92a6f6ec1b377f8bdd114693dc34c7,Whois_Phone_b2c3242dc164d74e1eacbfc4f210e939ace8a9ca15545742eac891fd75b81d32
4,r_dns_a,Domain_5a386c631c52ad78df460eb2a809adc98e92a6f6ec1b377f8bdd114693dc34c7,IP_54a14a97bf05cbd588064e193fc04968ac5539cf5c53f6e50ff01e7b80337aba
4,r_dns_a,Domain_10db31dec9b96a80f27482cdc997e19aa03a1e498c4c1ce1a27faf7d690c0dc0,IP_2340c6a5d2bbdb6ddc747e8b070b091733358a98bda998a77ea307d5a63413cc
4,r_dns_a,Domain_3334b15805d272a95ff57e47fa0512cec883730be7dfcac4f54fbf632af88546,IP_21ce145cae6730a99300bf677b83bbe430cc0ec957047172e73659372f0031b8
2,r_cname,Domain_3334b15805d272a95ff57e47fa0512cec883730be7dfcac4f54fbf632af88546,Domain_0309f1abfd871888adb8551c23225dd5aa1c8016e1154c6901825c0c3332d71d
3,r_whois_name,Domain_1a17a9ba0e48f69bd202df06851294cf4cfe44857441f5ef0a4ab556ee296f87,Whois_Name_af9c8790603b2045d997ea7062e2fd93c931560ae48932b95f20085663878464
3,r_whois_name,Domain_bcf4cef2e896e60e8cc3484aea000cd54dc2d2c5375cea0dec923f54a5687a0f,Whois_Name_fbea3e9bbaf17dc56dfd90762da786842976c1812952d86515498ad9ef2ee620
3,r_whois_phone,Domain_4eb66cbb801d51bd3d32814cfcc0de921c0d990acdc4722406ceb8aa44caa2c1,Whois_Phone_d4e844046d099bbdd48536d0431618a45cde4f0c5593f027d8ceee11f8b9c211
3,r_whois_name,Domain_31c9e1d7ece83436a697c1ac6a0ddb24c100d134ea8879b0cec4236c078bea27,Whois_Name_5cc3c37b39f7572b30515823086dcce0d80298e5cd35576e6dcf4189a1f30254
3,r_whois_email,Domain_d1ace3feac43e76aca92097948d23bc0e2b811878e3ac9609f81289f70f135d3,Whois_Email_f0f809953a6581e4422b85426a23906179659a9c3b3cd884a95fbd5baa1c8ce0
3,r_whois_phone,Domain_6352f13ddd199e7ab15d79ef162ae936f6133a979250d09d3f59070907b54387,Whois_Phone_d4e844046d099bbdd48536d0431618a45cde4f0c5593f027d8ceee11f8b9c211
3,r_whois_name,Domain_494eef47356a24124364d7d7600b5393696f3c65784d05bf7586df84e1d92d95,Whois_Name_5a90e75628e81244b692fe1ce7dbc3ea16e3e9dfb2a6312f6ddb2f3209dd150c
4,r_dns_a,Domain_36229feccf2ce6ce91dcee6cb334b87459666fd9605f9f22c03f98e62fb65d73,IP_653f36a9844f01be9a2fdc87b474c550ca69a92f20574340f719e5f796c06732
