name,type,is_core,industry,priority,betweenness,degree_centrality,pagerank,id
172.67.xxx.xxx,IP,True,,4,2.1747014902581536e-05,0.0032102728731942215,0.0007457751415123983,IP_3ba42b463a767f8f7a59a751ce4d9ef9ab4e643ed195ac2cf636ed2c5067ee53
1aeae2d0b9.com,Domain,False,['B'],4,3.3313267172871925e-06,0.004815409309791332,0.0009859383167406736,Domain_1aeae2d0b97f5be5a085f0e8d213f15c4ced40f4b18e17fa6e0a005a14722620
c96bb94b16.com,Domain,False,[],3,0.01004384268166598,0.008025682182985553,0.0016279264180202187,Domain_c96bb94b162b642b617c29ff11068cb2a8c4cdc15cdacae0ec2037253c685d74
191600f699,Cert,True,,4,0.000433910649017096,0.0032102728731942215,0.0010502660334753102,Cert_191600f699b155276717b38f1859e9eb30f9acce9723261323413ed12033653c
8386d84665.com,Domain,False,[],3,5.220156931924394e-06,0.004815409309791332,0.0011762946398656943,Domain_8386d84665821ef9a9ce997589c00f7a80ccd0534571a37fa1c72c4a0308ee5e
172.67.xxx.xxx,IP,True,,4,2.1747014902581536e-05,0.0032102728731942215,0.0007457751415123983,IP_ce8f31fe18b44f67809ccf4b69a5db33f6c19a723dfa7c7ff467d16369157c48
104.27.xxx.xxx,IP,True,,4,6.258658943737032e-05,0.0032102728731942215,0.0007456804074290176,IP_2a7198d6e238b5b26ee37474a43bb3026c313d3b413889ddf00d57b6304fd614
104.27.xxx.xxx,IP,True,,4,6.258658943737032e-05,0.0032102728731942215,0.0007456804074290176,IP_27df42084d5c08f5f71c536d9be9ad61d8d1fa2c3b020af1cc2dc39c720b3193
104.27.xxx.xxx,IP,True,,4,6.258658943737032e-05,0.0032102728731942215,0.0007456804074290176,IP_60cf0a6d44e4b525b92ffa15587c4152624bd0418eb9efbabe9b3ec13e664ccb
104.27.xxx.xxx,IP,True,,4,6.258658943737032e-05,0.0032102728731942215,0.0007456804074290176,IP_3c8330d421595114db124d07e87498857cc0da8d8a3257844b6136e69d907d65
9ec34467cf.com,Domain,True,[],3,6.949917492053672e-07,0.0032102728731942215,0.000812265573222818,Domain_9ec34467cf08fa236de7c72b316097ff121089677632cce495cf55e41b6d0aa3
104.27.xxx.xxx,IP,True,,4,6.258658943737032e-05,0.0032102728731942215,0.0007456804074290176,IP_d10e91a6e086b7d9466341d9a92507870b0965e1cf53b54d11d3aa6a2f0ed0ac
104.27.xxx.xxx,IP,True,,4,6.258658943736911e-05,0.0032102728731942215,0.0007456804074290176,IP_0e5fb28a4c35b6d0c8e1ef79bd123bb6f67ecc6aa1813dd4dfafd2545811bd9e
c24ea1bae8.com,Domain,False,[],3,0.0009206714970185613,0.006420545746388443,0.0014384770538803716,Domain_c24ea1bae872c6c130de6004abdfd7c0759452725baefb0d7c50bfb629ebddb9
d3dc723875.com,Domain,True,[],3,4.9395893347248524e-06,0.0032102728731942215,0.0007769615053496,Domain_d3dc723875c883da4159a69e6bad8853ae5e477846cc36e54c4b502189a57643
034aa4c08a.com,Domain,False,[],3,3.3313267172871925e-06,0.004815409309791332,0.0009859383167406736,Domain_034aa4c08a0cff606d04718af1b718d148799cebd610c3400db08f8ac54efb72
172.67.xxx.xxx,IP,True,,4,2.1747014902581536e-05,0.0032102728731942215,0.0007457751415123983,IP_44baab5f807556f3f1b01c77301f1fc1bfd2f059922ddaafca2efa24b81e2994
848df9b4bc.com,Domain,False,[],3,1.1383364931439023e-05,0.006420545746388443,0.0012503899409266397,Domain_848df9b4bc3c4b6b373dc50429eec83b7e1c0f8bae07b37deaa8a4a8dc716297
108.160.xxx.xxx,IP,True,,4,0.02977067903275331,0.019261637239165328,0.007343900816066231,IP_870ccbf1c06774c59e630c31aa299ce71ed944c3fdb836892a659f165eeb40ed
d91a27d183.com,Domain,True,['A'],4,0.0,0.0016051364365971107,0.0005687480997990334,Domain_d91a27d183c2874eadd4da5404bdb4780dbd67bf3c9748a575b55188f49feefe
104.27.xxx.xxx,IP,True,,4,6.258658943736911e-05,0.0032102728731942215,0.0007456804074290176,IP_4d863b4ab5863de2d2e1a64b4601082a735e193bb8edb0d619d3fcf1536c44a2
104.27.xxx.xxx,IP,True,,4,6.258658943737032e-05,0.0032102728731942215,0.0007456804074290176,IP_7f541c103d060c4bc863af725bce462f5fa1065711943de0ca272dcc01db901a
