relation,source,target
r_cidr,IP_75f609af998637dfa8d917054f143f1c3a0984b03b99d57743c7444f54306029,IP_CIDR_d3ab9ac9e55017cb46e3c2ab43fc1ca75b66feafc74362bf6fa4e8c620957f3f
r_asn,IP_75f609af998637dfa8d917054f143f1c3a0984b03b99d57743c7444f54306029,ASN_bfe47d08b0915207ce5f3b739e2bd60484069a0f0591adf4ca6baf9f5779d27a
r_cidr,IP_3c2d01b9274ee68b8286f700035d14baec9c027ce5a4f654a3637aee050cc85a,IP_CIDR_5075a87034598753028e7ecc231f4f13e5e23e33979188cb1fedf5a8442eabad
r_asn,IP_3c2d01b9274ee68b8286f700035d14baec9c027ce5a4f654a3637aee050cc85a,ASN_bfe47d08b0915207ce5f3b739e2bd60484069a0f0591adf4ca6baf9f5779d27a
r_dns_a,IP_dcea7712c0e65722dc3f5ec9e04534fd26d757dc0d82d4f239ceb8a7f7446217,Domain_e135eedc02d0e56ae0c2c16a74cbf140655df913f98060670924aa49c18996a4
r_asn,IP_dcea7712c0e65722dc3f5ec9e04534fd26d757dc0d82d4f239ceb8a7f7446217,ASN_bfe47d08b0915207ce5f3b739e2bd60484069a0f0591adf4ca6baf9f5779d27a
r_dns_a,IP_dcea7712c0e65722dc3f5ec9e04534fd26d757dc0d82d4f239ceb8a7f7446217,Domain_58cb4949e68c238a596aa3de219839e0f7e8a682b0ea6a34d60d35e38961b406
r_dns_a,IP_dcea7712c0e65722dc3f5ec9e04534fd26d757dc0d82d4f239ceb8a7f7446217,Domain_a9e6a7e60d2a6f0b3258cf19188d339c24f2745c372b70752ad284b566b097cd
r_dns_a,IP_dcea7712c0e65722dc3f5ec9e04534fd26d757dc0d82d4f239ceb8a7f7446217,Domain_d2bedf4327b9a0a5c069465d0e0b65543084241549b4f7dd621446d3cf84d76b
r_dns_a,IP_dcea7712c0e65722dc3f5ec9e04534fd26d757dc0d82d4f239ceb8a7f7446217,Domain_ba1965cb016245d853c9e5b07c2df0c20f253cac675a3478d3834ca86bba562e
r_dns_a,IP_dcea7712c0e65722dc3f5ec9e04534fd26d757dc0d82d4f239ceb8a7f7446217,Domain_4712d4c1198f943b0515cbf7272099f836ada5220b837c65e32e697c13ac95aa
r_dns_a,IP_dcea7712c0e65722dc3f5ec9e04534fd26d757dc0d82d4f239ceb8a7f7446217,Domain_6558b4418580a63d1da7d983af2b09c92646d2c823c39d16e7b5111ba76c7f8f
r_dns_a,IP_dcea7712c0e65722dc3f5ec9e04534fd26d757dc0d82d4f239ceb8a7f7446217,Domain_6df469eb3513482bf94c2f8eccf2d27029825b4684b33de2b97cc05448ec7116
r_dns_a,Domain_92f2946ef09811eedc48f087c984230c0bd0f0ee11561eced4e9ec703d0b5f7b,IP_1c44d861d7347b8764e642e5facfdbcee5defd0df939ab82a4b7ea5162f13dae
r_dns_a,Domain_92f2946ef09811eedc48f087c984230c0bd0f0ee11561eced4e9ec703d0b5f7b,IP_cb1599ff775ee3d0e849b13524ace44eb7503e97fb6108bfac0bcb985dd9d646
r_dns_a,Domain_08118fe49ac3e30b6d3f5689e49217c4c7c4c6904a752b5248ab9247233e6c2e,IP_136a30fb09124d6fdade3e3ffbf46c3708f361e40ed011b7f27ade91a5a30f92
r_dns_a,Domain_08118fe49ac3e30b6d3f5689e49217c4c7c4c6904a752b5248ab9247233e6c2e,IP_630ad0b4920bfdc057f7f41929ece3e807e0006d0683d760bdee44b9bcb74e4f
