id,name,type,industry
Domain_873ece70ad35d0c5092fe6e180311eeab27151d46b5e65c6dc08159733f940e7,873ece70ad.com,Domain,[]
Domain_16abbab465a629629c0657e292b010dc435d117267584dde9e08ea10963d3243,16abbab465.com,Domain,['A']
Domain_a9cd62b18647bfadac256895374c8c58d34e6c1033d37fae6cff77957d5230b8,a9cd62b186.com,Domain,[]
Domain_e3ae2eefdc054c8594d33554bac3aa71aeb48163b9b9d6e7131a7613ec772bba,e3ae2eefdc.com,Domain,[]
Domain_2717f21310f8ebbb22cc3a443f7dac403dbca3c3a644be9d7b5083e705896021,2717f21310.com,Domain,[]
Domain_a5a471ba88413b0b1e8bc75b4aa8aec1224219f19170cc31c5f85d9e9f87d0ff,a5a471ba88.com,Domain,[]
Domain_b54eed305cb470ba7f8469dcf7a0810042be76e0c5588861de1fa0d75b4505b3,b54eed305c.com,Domain,['B']
Domain_7e373bedee699585cc9a38933a2cb23b9c74ee1da9f67d9b005b34ca2f9c4783,7e373bedee.com,Domain,[]
Domain_856069f77464b35b3f1f66350ec970993330a0233602b960ccf278d06460182f,856069f774.com,Domain,['A']
Domain_aa58dd5a88c3320793563fb05178a26716441f837d2c662fbda398b07bf0a5ef,aa58dd5a88.com,Domain,['C']
Domain_90eb8504d4c2d6d8b8c8a2a7c3f26035cbbf28033c14ac03a156be5758c00b72,90eb8504d4.com,Domain,['B']
Domain_38b939edf0c0accbdd48c6ffe3d4c3084615eb4f12535793c86eacce485ed9fb,38b939edf0.com,Domain,['B']
Domain_7ba01e2ca21ed41e7fc782df50719b45396a26f02bc62d3d7f21a2af480f2de9,7ba01e2ca2.com,Domain,[]
Domain_7cec0e8d60662a2809d99de1a76386a2bc95802954df6dc612cba470922086c5,7cec0e8d60.com,Domain,[]
Domain_862543d1c5c027f08a0c804055c77fb5297c242db3832e6d04d5c1857fff214f,862543d1c5.com,Domain,['A']
Domain_482ba97b50bf6bb0c38614d5b21bae13c52f5bb99882a9d305bc912257635473,482ba97b50.com,Domain,['B']
Domain_20e1f312a145394e2c336ff21c3cbd919dfa01648a7fe4566e5872418a45a2a3,20e1f312a1.com,Domain,[]
Domain_8e61be7581e2d0e9c208e32a9349d9573ba47242aecbb9a5bf65e7aaec0630df,8e61be7581.com,Domain,[]
Domain_f7ac510da822c2982675a231dbc7e00be16e8b183d3f764d536d6e006488203c,f7ac510da8.com,Domain,['B']
Domain_7dcf98b397e9a989b45600ef97e88283e95a9e9d7e42b2f6d5cffc774f65bfe2,7dcf98b397.com,Domain,[]
Domain_e97874cfa9e04fb7262756ae648267776570680f78045b3affa3c9c057d36007,e97874cfa9.com,Domain,[]
Domain_20e7ff3c880e9078062266c3c036b8592c1bb6409c3a37c57bbf2b73f8e25010,20e7ff3c88.com,Domain,[]
IP_f4648e604de22a9f24e6a43b7ae8a1abcc4878700c05c4fc3a87f34e9d810876,3.139.xxx.xxx,IP,
