relation,source,target
r_cert,Domain_55715b05f529909aa71927633f3c0e40a0d97caa1f41cbe2e27c41da9bb54e1f,Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb
r_whois_name,Domain_55715b05f529909aa71927633f3c0e40a0d97caa1f41cbe2e27c41da9bb54e1f,Whois_Name_d93e740c6670760fce94cd3199e7e24bae82b16739c488d8191290ef7b403e0e
r_whois_email,Domain_55715b05f529909aa71927633f3c0e40a0d97caa1f41cbe2e27c41da9bb54e1f,Whois_Email_4bc12ad46aae48bd6c12bcbf626389c6e8d7733ace2fce23162223ebf80d285b
r_whois_phone,Domain_55715b05f529909aa71927633f3c0e40a0d97caa1f41cbe2e27c41da9bb54e1f,Whois_Phone_dc202b8538a1769e0d2a76acaea73dbd157b63100970088c1d5f9dfffc3fec59
r_whois_phone,Domain_55715b05f529909aa71927633f3c0e40a0d97caa1f41cbe2e27c41da9bb54e1f,Whois_Phone_edd207d24f6a00614700f6438b24f816a00b0f4357136a26e3cf89162a7f4a51
r_dns_a,Domain_55715b05f529909aa71927633f3c0e40a0d97caa1f41cbe2e27c41da9bb54e1f,IP_a9599805c195b5a859b4f824e519d2f2379ee5e35a4f518e98784956a88461d5
r_cert,Domain_7a73021b66b5c33b875536ff9e2caea27359a3f1c435f0745b9a0b15dc2650f3,Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb
r_dns_a,Domain_7a73021b66b5c33b875536ff9e2caea27359a3f1c435f0745b9a0b15dc2650f3,IP_ff4cc9d69d7a7f05c5dd17b6ebe8645113f165bd40e2c5b7a87a4b38329b93b3
r_dns_a,Domain_18e4a3ebf976d7e03772b61bdbdafeb8271f919639853400622151d6a1e32ea5,IP_7d4accce38d3c42bf738710e6b7f03b667f00b46a500a3153321d0f6b20d9c76
r_cert,Domain_18e4a3ebf976d7e03772b61bdbdafeb8271f919639853400622151d6a1e32ea5,Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb
r_dns_a,Domain_72d3b91b7e550ac76c5f7d54009f893a1089f6d313b34b466f1855aa56296890,IP_653f36a9844f01be9a2fdc87b474c550ca69a92f20574340f719e5f796c06732
r_cname,Domain_72d3b91b7e550ac76c5f7d54009f893a1089f6d313b34b466f1855aa56296890,Domain_8363f9c51171df73e13f043ee0865d489011ec41564e26db093a595b624f1fa0
r_whois_name,Domain_fb58418a3ae1ebb66353ac3ab809d1325b7c4c155e2d39b40346978837fa3b8a,Whois_Name_2980849521de9f8397063dc0a9ccda4e2d29c6ce926e1fa293fba125e409ed25
r_whois_email,Domain_fb58418a3ae1ebb66353ac3ab809d1325b7c4c155e2d39b40346978837fa3b8a,Whois_Email_c816181a3dbdb584ac229204d2c70bda193513f80ff68f810e484dec1eb37227
r_dns_a,Domain_7da803a054bc007450fc5945a7dfb35bffc12978af71749e4ed9ad30627ff4cd,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545
r_cname,Domain_7da803a054bc007450fc5945a7dfb35bffc12978af71749e4ed9ad30627ff4cd,Domain_bef7711a775534636a7cdae48a0f9d7604c5dadcf31f32f6117d6db4b00555ac
r_dns_a,Domain_515c13ac1b8fec68bf990a0baf54b045b89fe183b7b93761a0bcaee88a066196,IP_be6f0363f06e36e64c83570d449198813e221309d760d578fd3c2ca85320e92e
r_cert,Domain_515c13ac1b8fec68bf990a0baf54b045b89fe183b7b93761a0bcaee88a066196,Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb
r_cname,Domain_24f37ee98367f8d0168586d7ebfd94d9caa65181ee22f19c40cd2a2b7989bc2d,Domain_bef7711a775534636a7cdae48a0f9d7604c5dadcf31f32f6117d6db4b00555ac
r_dns_a,Domain_24f37ee98367f8d0168586d7ebfd94d9caa65181ee22f19c40cd2a2b7989bc2d,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545
r_dns_a,Domain_430523eb54f10cfc52fe921f09a8ff177e0e2e5676f0c679c7ef98f286bb2e27,IP_e574a6903582bc34a064ba4f006e1f59a61435d144960d6dd7985a095320eff9
r_cert,Domain_430523eb54f10cfc52fe921f09a8ff177e0e2e5676f0c679c7ef98f286bb2e27,Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb
r_dns_a,Domain_42fe1308c0fd70ddb58d811add8cf73ca15fb370ccf48c69b089f63eead12c34,IP_653f36a9844f01be9a2fdc87b474c550ca69a92f20574340f719e5f796c06732
r_cname,Domain_42fe1308c0fd70ddb58d811add8cf73ca15fb370ccf48c69b089f63eead12c34,Domain_8363f9c51171df73e13f043ee0865d489011ec41564e26db093a595b624f1fa0
r_asn,IP_9e443b8ba2f05c0412f10439fe4c4248f6fd13d1a9d3fdaa0a680e6dec05f9e5,ASN_4eba77aac4cf89cf4d89ac512cebbaae9c589e31878d997f02bf320085cf07e0
r_dns_a,IP_9e443b8ba2f05c0412f10439fe4c4248f6fd13d1a9d3fdaa0a680e6dec05f9e5,Domain_ac00346319379c4c4d98db841160acc56f0ed517e8b87f233fbd71363c4701d0
r_cidr,IP_9e443b8ba2f05c0412f10439fe4c4248f6fd13d1a9d3fdaa0a680e6dec05f9e5,IP_CIDR_145cc4fb4911f56f44f9aeb79e63c648deccd766efe480bde9d7a04cef11842b
r_dns_a,IP_9e443b8ba2f05c0412f10439fe4c4248f6fd13d1a9d3fdaa0a680e6dec05f9e5,Domain_d14e9e621bfb9ffc8ddf1f1dc8d772782faed091ad5def8119aad8633fab0638
r_dns_a,IP_9e443b8ba2f05c0412f10439fe4c4248f6fd13d1a9d3fdaa0a680e6dec05f9e5,Domain_65e7caf6090913c12311e9d78c32e77cb52b98e4c619f301dd3c26bd4050df57
r_dns_a,IP_9e443b8ba2f05c0412f10439fe4c4248f6fd13d1a9d3fdaa0a680e6dec05f9e5,Domain_dee56e9b533447279cf6f840683e51528ec10c47736fcf45ac2332c444039424
r_dns_a,IP_9e443b8ba2f05c0412f10439fe4c4248f6fd13d1a9d3fdaa0a680e6dec05f9e5,Domain_cc7d0db24b51eebfc7a99c189d7ca4b67a16e15aad8db14bb814b93ac28b21de
r_dns_a,IP_9e443b8ba2f05c0412f10439fe4c4248f6fd13d1a9d3fdaa0a680e6dec05f9e5,Domain_6f8ea37d5bcb12255b39cdcad1d6bd0d03105f8c22829b160342ceebffac0e1d
r_dns_a,IP_9e443b8ba2f05c0412f10439fe4c4248f6fd13d1a9d3fdaa0a680e6dec05f9e5,Domain_d0546498a77bb597bb6dfeae7e498ee6cb13a47bf9749abe224de0405defe075
r_dns_a,IP_9e443b8ba2f05c0412f10439fe4c4248f6fd13d1a9d3fdaa0a680e6dec05f9e5,Domain_6236ae39fe914f67e358857f4062f518386e9db890dc727e79d4072f92d3acef
r_dns_a,IP_9e443b8ba2f05c0412f10439fe4c4248f6fd13d1a9d3fdaa0a680e6dec05f9e5,Domain_2b2b913bc869f2936fe90861e1c17bc4487e2cbf431dfb910a9c50444e8ad855
r_dns_a,IP_9e443b8ba2f05c0412f10439fe4c4248f6fd13d1a9d3fdaa0a680e6dec05f9e5,Domain_dc30be48adc2d1e884e2305346cdddf177a04275e59be9103a1d35680af11f1f
r_dns_a,IP_9e443b8ba2f05c0412f10439fe4c4248f6fd13d1a9d3fdaa0a680e6dec05f9e5,Domain_60d2c9e44bcd8a46617032d2f7eb5ec535f9353aaeac43f7d1bccd2bb28e2c66
r_dns_a,IP_9e443b8ba2f05c0412f10439fe4c4248f6fd13d1a9d3fdaa0a680e6dec05f9e5,Domain_900b4ac94b3e0110a91c61be3b430790d1d4eb7477fa6e35365756c924965025
r_dns_a,Domain_33c9fa6024dced057f9c85fbd40e307e84ab837e7c8ee36a8008a272650fd100,IP_7f6f508a3891a6ec4aabb1b9c107c7c83526d9ff43f7982771a55f0612116774
r_dns_a,Domain_33c9fa6024dced057f9c85fbd40e307e84ab837e7c8ee36a8008a272650fd100,IP_b136ea65ddabd26d3c90bac3686462f7a9285fe28d3a98d7c2a433aacedd661f
r_dns_a,Domain_2401864c44dcc7d36c70c390cbdefb69a9d0a55a334d8fff439900228498c48a,IP_8e416a04fcaecaac28779f9a642e2b08dbf1c9bbaeb4bbcf4cb050bfe447d3d1
r_whois_phone,Domain_2401864c44dcc7d36c70c390cbdefb69a9d0a55a334d8fff439900228498c48a,Whois_Phone_eed18837930dd49f768dcb427c3552db206f00b4b610dd32ba4119a9e92cd111
