id,name,type,industry
Domain_873ece70ad35d0c5092fe6e180311eeab27151d46b5e65c6dc08159733f940e7,873ece70ad.com,Domain,[]
Domain_f00ff1ef832b3bc9319b2026afe1c7cced36d8ecfaf8ef8594e6c953e04dafe2,f00ff1ef83.com,Domain,[]
Domain_a9cd62b18647bfadac256895374c8c58d34e6c1033d37fae6cff77957d5230b8,a9cd62b186.com,Domain,[]
Domain_430523eb54f10cfc52fe921f09a8ff177e0e2e5676f0c679c7ef98f286bb2e27,430523eb54.com,Domain,[]
Domain_d80aff0dcf80ff62fb7dfdab78fd187173a7d8f55b30296bd704bb0f47efd116,d80aff0dcf.com,Domain,[]
Domain_a5a471ba88413b0b1e8bc75b4aa8aec1224219f19170cc31c5f85d9e9f87d0ff,a5a471ba88.com,Domain,[]
Domain_dd186c58e46ee4fb039b7b982837fce3fe1db2090ff1954edb6824b91de0dea3,dd186c58e4.com,Domain,['B']
Domain_208703ef6af0e297b42233fd8714ea199d0638f898b54abdb4579e2cfdc1a154,208703ef6a.com,Domain,[]
Domain_c2920721f0b590bbee9905e38b6da1b3df96dcaaac901a79475f34f0ea1e4675,c2920721f0.com,Domain,[]
Domain_cb3d79ff3508d88fcc254e0daeb37859b3840526dde3a533925d2b4cb1685eb5,cb3d79ff35.com,Domain,[]
Domain_0cf49f5853ddf5ff037a4561fa40dac683d6ba1cdb9c471ac124d56ad083c5b2,0cf49f5853.com,Domain,[]
Domain_a9fe3f7659275cb5fdc0ca37f4e975a375803f9e44848166c2faa38afba23232,a9fe3f7659.com,Domain,[]
Domain_7cec0e8d60662a2809d99de1a76386a2bc95802954df6dc612cba470922086c5,7cec0e8d60.com,Domain,[]
Domain_c0b80333296b448ac7285722a6612a33b072b9dcf2ede9b097058070be260e2f,c0b8033329.com,Domain,['B']
Domain_c64c6e3e12a5be8929037eb5d358b583834d1590897297814952b1c75521f21f,c64c6e3e12.com,Domain,['A']
Domain_da507cdb8889dfa7e8f252bd059ad8d84fd049f07a6543231501154361049f7d,da507cdb88.com,Domain,[]
Domain_20e1f312a145394e2c336ff21c3cbd919dfa01648a7fe4566e5872418a45a2a3,20e1f312a1.com,Domain,[]
Domain_79d6aa8b855333a6962546af8a8b8fb92b058a9da6f7823a6ff00aa640c0677b,79d6aa8b85.com,Domain,[]
Domain_8e61be7581e2d0e9c208e32a9349d9573ba47242aecbb9a5bf65e7aaec0630df,8e61be7581.com,Domain,[]
Domain_7dcf98b397e9a989b45600ef97e88283e95a9e9d7e42b2f6d5cffc774f65bfe2,7dcf98b397.com,Domain,[]
Domain_004f5957dad49fd04a363c6354a779547016f9025dce62b8bf3be5a56785472f,004f5957da.com,Domain,[]
Domain_bb8d7b903c2c2c62a85914c6378eea3e12b691786e3022189f6d77d000f23b7c,bb8d7b903c.com,Domain,[]
Domain_0f926f29f350a3f0050a2194e6ad137f715002f1776d608fbe82f330f8cc4326,0f926f29f3.com,Domain,['B']
IP_be95e94859183d3f7dba59258f6355d05dd037904d73dcae16e2b04a6854199e,23.225.xxx.xxx,IP,
Domain_1040a6702e72f07529681b0b6a4fe4029b5b8851f3582aeddc33f1212bf84f61,1040a6702e.com,Domain,[]
Domain_20e7ff3c880e9078062266c3c036b8592c1bb6409c3a37c57bbf2b73f8e25010,20e7ff3c88.com,Domain,[]
